Problem settings:
Lx=10 Ly=10 Nx=201 Ny=201 Re=10 dt=0.005 T=5
MPIRANKS [#]  |  OMPTHREADS [#] |  Initialising [s] |  WriteIC [s]  |  Integrate [s]  |  WriteSOL [s]  |  Total [s]
1             |  1             |    0.000715        |    10.786616  |   397.279037  |    12.565914  |   420.632282
4             |  1             |    0.000186        |    11.563190  |   107.120973  |    12.883643  |   131.567992
9             |  1             |    0.000102        |    11.519481  |    57.924419  |    12.459074  |    81.903077
16            |  1             |    0.000099        |    12.512524  |    51.550161  |    13.813209  |    77.875993
1             |  1             |    0.000668        |    11.906874  |   399.369189  |    12.158720  |   423.435451
1             |  2             |    0.001564        |    12.484884  |   295.942099  |    12.280284  |   320.708832
1             |  4             |    0.000741        |    12.209637  |   250.911494  |    12.535442  |   275.657315
1             |  6             |    0.000703        |    12.875135  |   233.413970  |    11.999150  |   258.288958
1             |  8             |    0.000714        |    11.355717  |   235.096562  |    11.942799  |   258.395793
1             |  10            |    0.000705        |    12.171060  |   246.147041  |    11.115515  |   269.434321
1             |  12            |    0.001325        |    10.903321  |   257.394997  |    11.722381  |   280.022024
1             |  14            |    0.000685        |    11.421355  |   262.881248  |    11.320949  |   285.624237
1             |  16            |    0.000740        |    10.919386  |   281.476107  |    11.497234  |   303.893467
