Problem settings:
Lx=1 Ly=1 Nx=101 Ny=101 Re=500 dt=0.005 T=5
MPIRANKS [#]  |  OMPTHREADS [#] |  Initialising [s] |  WriteIC [s]  |  Integrate [s]  |  WriteSOL [s]  |  Total [s]
1             |  1             |    0.000373        |     5.598536  |    94.218476  |     8.020228  |   107.837613
4             |  1             |    0.000141        |     7.356348  |    41.924958  |     5.055638  |    54.337085
9             |  1             |    0.000100        |     5.183685  |    36.269230  |     8.222075  |    49.675090
16            |  1             |    0.000057        |     8.337941  |    32.615142  |     6.498452  |    47.451592
1             |  1             |    0.000287        |     6.336992  |   100.852295  |     5.059508  |   112.249082
1             |  2             |    0.000289        |     5.505729  |    70.099773  |     6.817406  |    82.423197
1             |  4             |    0.000298        |     5.028195  |    66.353596  |     6.776807  |    78.158897
1             |  6             |    0.000480        |     8.502583  |    70.835692  |    10.931947  |    90.270701
1             |  8             |    0.000384        |     8.234921  |    79.076217  |     7.855814  |    95.167337
1             |  10            |    0.000777        |     8.898428  |    72.579980  |    10.771918  |    92.251103
1             |  12            |    0.000363        |    10.474401  |    83.756186  |     8.505869  |   102.736819
1             |  14            |    0.000424        |     7.718429  |    83.671527  |     7.778581  |    99.168961
1             |  16            |    0.000369        |     6.222343  |    98.437857  |    10.086979  |   114.747548
